cell_id,core,nuance,micro,tier,quota_perception,quota_sft,quota_dpo,clinical_priority,edge_case_category
1,Happy,Excited,Energetic,C,100,20,20,LOW,sarcasm_common
2,Happy,Excited,Curious,B,150,45,40,LOW,sarcasm_common
3,Happy,Excited,Stimulated,C,100,20,20,LOW,sarcasm_common
4,Happy,Excited,Playful,B,150,45,40,LOW,sarcasm_common
5,Happy,Excited,Inspired,C,100,20,20,LOW,sarcasm_common
6,Happy,Excited,Cheerful,C,100,20,20,LOW,sarcasm_common
7,Happy,Interested,Engaged,A,200,60,55,LOW,
8,Happy,Interested,Intrigued,B,150,45,40,LOW,
9,Happy,Interested,Focused,B,150,45,40,LOW,
10,Happy,Interested,Attentive,B,150,45,40,LOW,
11,Happy,Interested,Curious,A,200,60,55,LOW,
12,Happy,Interested,Involved,B,150,45,40,LOW,
13,Happy,Energetic,Driven,B,150,45,40,LOW,
14,Happy,Energetic,Lively,B,150,45,40,LOW,
15,Happy,Energetic,Motivated,B,150,45,40,LOW,
16,Happy,Energetic,Active,B,150,45,40,LOW,
17,Happy,Energetic,Vibrant,B,150,45,40,LOW,
18,Happy,Energetic,Charged,B,150,45,40,LOW,
19,Happy,Playful,Fun,C,100,20,20,LOW,sarcasm_common
20,Happy,Playful,Lighthearted,C,100,20,20,LOW,sarcasm_common
21,Happy,Playful,Amused,C,100,20,20,LOW,sarcasm_common
22,Happy,Playful,Silly,C,100,20,20,LOW,sarcasm_common
23,Happy,Playful,Cheerful,B,150,45,40,LOW,sarcasm_common
24,Happy,Playful,Jovial,C,100,20,20,LOW,sarcasm_common
25,Happy,Creative,Imaginative,B,150,45,40,LOW,
26,Happy,Creative,Inventive,B,150,45,40,LOW,
27,Happy,Creative,Expressive,B,150,45,40,LOW,
28,Happy,Creative,Artistic,B,150,45,40,LOW,
29,Happy,Creative,Visionary,B,150,45,40,LOW,
30,Happy,Creative,Experimental,B,150,45,40,LOW,
31,Happy,Optimistic,Hopeful,A,200,60,55,LOW,
32,Happy,Optimistic,Upbeat,B,150,45,40,LOW,
33,Happy,Optimistic,Confident,B,150,45,40,LOW,
34,Happy,Optimistic,Expectant,B,150,45,40,LOW,
35,Happy,Optimistic,Positive,A,200,60,55,LOW,
36,Happy,Optimistic,Forward-looking,B,150,45,40,LOW,
37,Strong,Confident,Assured,A,200,60,55,LOW,
38,Strong,Confident,Secure,B,150,45,40,LOW,
39,Strong,Confident,Capable,A,200,60,55,LOW,
40,Strong,Confident,Bold,B,150,45,40,LOW,
41,Strong,Confident,Competent,B,150,45,40,LOW,
42,Strong,Confident,Self-reliant,B,150,45,40,LOW,
43,Strong,Proud,Accomplished,C,100,20,20,LOW,
44,Strong,Proud,Honored,C,100,20,20,LOW,
45,Strong,Proud,Esteemed,C,100,20,20,LOW,sociopathic_potential
46,Strong,Proud,Fulfilled,C,100,20,20,LOW,
47,Strong,Proud,Worthy,B,150,45,40,LOW,sociopathic_potential
48,Strong,Proud,Respected,B,150,45,40,LOW,
49,Strong,Respected,Valued,C,100,20,20,LOW,
50,Strong,Respected,Trusted,C,100,20,20,LOW,
51,Strong,Respected,Admired,C,100,20,20,LOW,
52,Strong,Respected,Recognized,C,100,20,20,LOW,
53,Strong,Respected,Honorable,B,150,45,40,LOW,
54,Strong,Respected,Appreciated,B,150,45,40,LOW,
55,Strong,Courageous,Brave,C,100,20,20,LOW,
56,Strong,Courageous,Adventurous,C,100,20,20,LOW,
57,Strong,Courageous,Daring,C,100,20,20,LOW,
58,Strong,Courageous,Fearless,C,100,20,20,LOW,
59,Strong,Courageous,Determined,B,150,45,40,LOW,
60,Strong,Courageous,Heroic,B,150,45,40,LOW,
61,Strong,Hopeful,Inspired,A,200,60,55,LOW,
62,Strong,Hopeful,Aspiring,A,200,60,55,LOW,
63,Strong,Hopeful,Positive,B,150,45,40,LOW,
64,Strong,Hopeful,Expectant,B,150,45,40,LOW,
65,Strong,Hopeful,Reassured,A,200,60,55,LOW,
66,Strong,Hopeful,Uplifted,B,150,45,40,LOW,
67,Strong,Resilient,Tough,A,200,60,55,LOW,
68,Strong,Resilient,Steady,A,200,60,55,LOW,
69,Strong,Resilient,Rebounding,B,150,45,40,LOW,
70,Strong,Resilient,Enduring,A,200,60,55,LOW,
71,Strong,Resilient,Adaptable,A,200,60,55,LOW,
72,Strong,Resilient,Persistent,B,150,45,40,LOW,
73,Peaceful,Loving,Caring,B,150,45,40,LOW,
74,Peaceful,Loving,Compassionate,B,150,45,40,LOW,
75,Peaceful,Loving,Affectionate,B,150,45,40,LOW,
76,Peaceful,Loving,Warm,B,150,45,40,LOW,
77,Peaceful,Loving,Tender,B,150,45,40,LOW,
78,Peaceful,Loving,Kind,B,150,45,40,LOW,
79,Peaceful,Grateful,Thankful,A,200,60,55,LOW,
80,Peaceful,Grateful,Appreciative,A,200,60,55,LOW,
81,Peaceful,Grateful,Blessed,A,200,60,55,LOW,
82,Peaceful,Grateful,Content,A,200,60,55,LOW,
83,Peaceful,Grateful,Relieved,B,150,45,40,LOW,
84,Peaceful,Grateful,Peaceful,B,150,45,40,LOW,
85,Peaceful,Thoughtful,Reflective,B,150,45,40,LOW,
86,Peaceful,Thoughtful,Considerate,B,150,45,40,LOW,
87,Peaceful,Thoughtful,Mindful,B,150,45,40,LOW,
88,Peaceful,Thoughtful,Pensive,B,150,45,40,LOW,
89,Peaceful,Thoughtful,Contemplative,B,150,45,40,LOW,
90,Peaceful,Thoughtful,Understanding,B,150,45,40,LOW,
91,Peaceful,Content,Comfortable,A,200,60,55,LOW,
92,Peaceful,Content,Satisfied,A,200,60,55,LOW,
93,Peaceful,Content,Fulfilled,B,150,45,40,LOW,
94,Peaceful,Content,Calm,A,200,60,55,LOW,
95,Peaceful,Content,Settled,B,150,45,40,LOW,
96,Peaceful,Content,At-ease,A,200,60,55,LOW,
97,Peaceful,Serene,Tranquil,A,200,60,55,LOW,
98,Peaceful,Serene,Still,B,150,45,40,LOW,
99,Peaceful,Serene,Quiet,B,150,45,40,LOW,
100,Peaceful,Serene,Harmonious,B,150,45,40,LOW,
101,Peaceful,Serene,Relaxed,A,200,60,55,LOW,
102,Peaceful,Serene,Balanced,A,200,60,55,LOW,
103,Peaceful,Thankful,Appreciative,B,150,45,40,LOW,
104,Peaceful,Thankful,Aware,B,150,45,40,LOW,
105,Peaceful,Thankful,Satisfied,B,150,45,40,LOW,
106,Peaceful,Thankful,Gentle,B,150,45,40,LOW,
107,Peaceful,Thankful,Humble,B,150,45,40,LOW,
108,Peaceful,Thankful,Calm,B,150,45,40,LOW,
109,Sad,Lonely,Abandoned,A,200,60,55,MEDIUM,
110,Sad,Lonely,Isolated,A,200,60,55,MEDIUM,
111,Sad,Lonely,Forsaken,A,200,60,55,MEDIUM,
112,Sad,Lonely,Forgotten,A,200,60,55,MEDIUM,
113,Sad,Lonely,Distant,B,150,45,40,MEDIUM,
114,Sad,Lonely,Alone,A,200,60,55,MEDIUM,
115,Sad,Vulnerable,Exposed,A,200,60,55,MEDIUM,
116,Sad,Vulnerable,Fragile,A,200,60,55,MEDIUM,
117,Sad,Vulnerable,Unsafe,A,200,60,55,MEDIUM,
118,Sad,Vulnerable,Sensitive,B,150,45,40,MEDIUM,
119,Sad,Vulnerable,Helpless,B,150,45,40,MEDIUM,
120,Sad,Vulnerable,Unprotected,B,150,45,40,MEDIUM,
121,Sad,Hurt,Wounded,A,200,60,55,MEDIUM,
122,Sad,Hurt,Injured,B,150,45,40,MEDIUM,
123,Sad,Hurt,Offended,B,150,45,40,MEDIUM,
124,Sad,Hurt,Pained,A,200,60,55,MEDIUM,
125,Sad,Hurt,Damaged,B,150,45,40,MEDIUM,
126,Sad,Hurt,Aching,A,200,60,55,MEDIUM,
127,Sad,Depressed,Hopeless,A,200,60,55,HIGH,high_risk
128,Sad,Depressed,Empty,A,200,60,55,MEDIUM,high_risk
129,Sad,Depressed,Low,A,200,60,55,MEDIUM,high_risk
130,Sad,Depressed,Exhausted,A,200,60,55,MEDIUM,high_risk
131,Sad,Depressed,Melancholic,B,150,45,40,MEDIUM,high_risk
132,Sad,Depressed,Despairing,A,200,60,55,HIGH,high_risk
133,Sad,Guilty,Ashamed,A,200,60,55,MEDIUM,
134,Sad,Guilty,Regretful,A,200,60,55,MEDIUM,
135,Sad,Guilty,Responsible,B,150,45,40,MEDIUM,
136,Sad,Guilty,Remorseful,B,150,45,40,MEDIUM,
137,Sad,Guilty,Embarrassed,A,200,60,55,MEDIUM,
138,Sad,Guilty,Contrite,B,150,45,40,MEDIUM,
139,Sad,Grief,Mourning,C,100,20,20,MEDIUM,
140,Sad,Grief,Bereaved,C,100,20,20,MEDIUM,
141,Sad,Grief,Sorrowful,C,100,20,20,MEDIUM,
142,Sad,Grief,Heartbroken,C,100,20,20,MEDIUM,
143,Sad,Grief,Loss,B,150,45,40,MEDIUM,
144,Sad,Grief,Weeping,B,150,45,40,MEDIUM,
145,Angry,Mad,Furious,B,150,45,40,MEDIUM,profanity_common
146,Angry,Mad,Enraged,B,150,45,40,MEDIUM,profanity_common
147,Angry,Mad,Outraged,B,150,45,40,MEDIUM,profanity_common
148,Angry,Mad,Irritated,B,150,45,40,MEDIUM,profanity_common
149,Angry,Mad,Heated,B,150,45,40,MEDIUM,profanity_common
150,Angry,Mad,Wild,B,150,45,40,MEDIUM,profanity_common
151,Angry,Disappointed,Betrayed,A,200,60,55,MEDIUM,
152,Angry,Disappointed,Jealous,B,150,45,40,MEDIUM,
153,Angry,Disappointed,Let-down,A,200,60,55,MEDIUM,
154,Angry,Disappointed,Resentful,A,200,60,55,MEDIUM,
155,Angry,Disappointed,Displeased,B,150,45,40,MEDIUM,
156,Angry,Disappointed,Dismayed,B,150,45,40,MEDIUM,
157,Angry,Humiliated,Ashamed,A,200,60,55,MEDIUM,
158,Angry,Humiliated,Inferior,A,200,60,55,MEDIUM,
159,Angry,Humiliated,Embarrassed,A,200,60,55,MEDIUM,
160,Angry,Humiliated,Belittled,A,200,60,55,MEDIUM,
161,Angry,Humiliated,Exposed,B,150,45,40,MEDIUM,
162,Angry,Humiliated,Dishonored,B,150,45,40,MEDIUM,
163,Angry,Aggressive,Provoked,C,100,20,20,MEDIUM,high_risk
164,Angry,Aggressive,Violent,C,100,20,20,HIGH,high_risk
165,Angry,Aggressive,Hostile,C,100,20,20,MEDIUM,high_risk
166,Angry,Aggressive,Combative,C,100,20,20,MEDIUM,high_risk
167,Angry,Aggressive,Threatening,C,100,20,20,HIGH,high_risk
168,Angry,Aggressive,Confrontational,B,150,45,40,MEDIUM,high_risk
169,Angry,Frustrated,Annoyed,A,200,60,55,MEDIUM,profanity_common
170,Angry,Frustrated,Impatient,A,200,60,55,MEDIUM,profanity_common
171,Angry,Frustrated,Restless,A,200,60,55,MEDIUM,profanity_common
172,Angry,Frustrated,Defeated,A,200,60,55,MEDIUM,profanity_common
173,Angry,Frustrated,Irritated,A,200,60,55,MEDIUM,profanity_common
174,Angry,Frustrated,Blocked,B,150,45,40,MEDIUM,profanity_common
175,Angry,Critical,Dismissive,C,100,20,20,MEDIUM,
176,Angry,Critical,Judgmental,C,100,20,20,MEDIUM,
177,Angry,Critical,Harsh,C,100,20,20,MEDIUM,
178,Angry,Critical,Skeptical,C,100,20,20,MEDIUM,
179,Angry,Critical,Sarcastic,C,100,20,20,MEDIUM,
180,Angry,Critical,Demanding,B,150,45,40,MEDIUM,
181,Fearful,Anxious,Nervous,A,200,60,55,MEDIUM,
182,Fearful,Anxious,Uneasy,A,200,60,55,MEDIUM,
183,Fearful,Anxious,Tense,A,200,60,55,MEDIUM,
184,Fearful,Anxious,Worried,A,200,60,55,MEDIUM,
185,Fearful,Anxious,Restless,A,200,60,55,MEDIUM,
186,Fearful,Anxious,Alarmed,A,200,60,55,MEDIUM,
187,Fearful,Insecure,Uncertain,A,200,60,55,MEDIUM,
188,Fearful,Insecure,Self-doubting,A,200,60,55,MEDIUM,
189,Fearful,Insecure,Hesitant,A,200,60,55,MEDIUM,
190,Fearful,Insecure,Fearful,B,150,45,40,MEDIUM,
191,Fearful,Insecure,Guarded,B,150,45,40,MEDIUM,
192,Fearful,Insecure,Timid,B,150,45,40,MEDIUM,
193,Fearful,Overwhelmed,Stressed,A,200,60,55,MEDIUM,
194,Fearful,Overwhelmed,Exhausted,A,200,60,55,MEDIUM,
195,Fearful,Overwhelmed,Flooded,A,200,60,55,MEDIUM,
196,Fearful,Overwhelmed,Pressured,A,200,60,55,MEDIUM,
197,Fearful,Overwhelmed,Burdened,A,200,60,55,MEDIUM,
198,Fearful,Overwhelmed,Distracted,B,150,45,40,MEDIUM,
199,Fearful,Weak,Powerless,C,100,20,20,MEDIUM,
200,Fearful,Weak,Fragile,C,100,20,20,MEDIUM,
201,Fearful,Weak,Small,C,100,20,20,MEDIUM,
202,Fearful,Weak,Dependent,B,150,45,40,MEDIUM,
203,Fearful,Weak,Vulnerable,B,150,45,40,MEDIUM,
204,Fearful,Weak,Ineffective,C,100,20,20,MEDIUM,
205,Fearful,Rejected,Excluded,A,200,60,55,MEDIUM,
206,Fearful,Rejected,Disillusioned,B,150,45,40,MEDIUM,
207,Fearful,Rejected,Dismissed,B,150,45,40,MEDIUM,
208,Fearful,Rejected,Neglected,A,200,60,55,MEDIUM,
209,Fearful,Rejected,Abandoned,A,200,60,55,MEDIUM,
210,Fearful,Rejected,Ignored,B,150,45,40,MEDIUM,
211,Fearful,Helpless,Worthless,C,100,20,20,HIGH,high_risk
212,Fearful,Helpless,Defeated,C,100,20,20,MEDIUM,high_risk
213,Fearful,Helpless,Stuck,C,100,20,20,MEDIUM,high_risk
214,Fearful,Helpless,Lost,C,100,20,20,MEDIUM,high_risk
215,Fearful,Helpless,Hopeless,C,100,20,20,HIGH,high_risk
216,Fearful,Helpless,Paralyzed,C,100,20,20,HIGH,high_risk
